Feature,Group,Importance
T5YFFM 12M Lag,Interest and Exchange Rates,0.04935538
TB6SMFFM 9M Lag,Interest and Exchange Rates,0.043108907
USWTRADE,Labor Market,0.035996582
T1YFFM 9M Lag,Interest and Exchange Rates,0.032897573
USWTRADE 3M Lag,Labor Market,0.026070049
S&P PE ratio 12M Lag,Stock Market,0.020531174
AAAFFM,Interest and Exchange Rates,0.0159932
M2SL 9M Lag,Money and Credit,0.014823164
BUSINVx 3M Lag,"Consumption, Orders and Inventories",0.013808018
COMPAPFFx 1M Lag,Interest and Exchange Rates,0.013736953
MANEMP,Labor Market,0.012638737
COMPAPFFx 9M Lag,Interest and Exchange Rates,0.012202674
CPIAUCSL 6M Lag,Prices,0.011892576
NONREVSL 6M Lag,Money and Credit,0.011838972
BAAFFM,Interest and Exchange Rates,0.011424018
BUSINVx 1M Lag,"Consumption, Orders and Inventories",0.011415431
COMPAPFFx 12M Lag,Interest and Exchange Rates,0.010211926
WPSID61 3M Lag,Prices,0.010055719
TB6SMFFM 12M Lag,Interest and Exchange Rates,0.009739977
T10YFFM 12M Lag,Interest and Exchange Rates,0.009427895
NONREVSL 9M Lag,Money and Credit,0.009060005
USWTRADE 1M Lag,Labor Market,0.008500906
M2REAL,Money and Credit,0.0084229335
HOUST 12M Lag,Housing,0.008197909
CES1021000001,Labor Market,0.008180185
REALLN 12M Lag,Money and Credit,0.007814339
COMPAPFFx,Interest and Exchange Rates,0.007806754
CES0600000008 6M Lag,Labor Market,0.007782105
HOUST,Housing,0.0076422845
T1YFFM 12M Lag,Interest and Exchange Rates,0.007345243
WPSID61 12M Lag,Prices,0.0066993884
PAYEMS,Labor Market,0.00664757
COMPAPFFx 6M Lag,Interest and Exchange Rates,0.00643699
T1YFFM 1M Lag,Interest and Exchange Rates,0.006426306
AAAFFM 12M Lag,Interest and Exchange Rates,0.0063364888
T5YFFM 9M Lag,Interest and Exchange Rates,0.0062188176
CES1021000001 1M Lag,Labor Market,0.0061914544
NONREVSL 12M Lag,Money and Credit,0.006158623
CES0600000008 3M Lag,Labor Market,0.005826267
T10YFFM,Interest and Exchange Rates,0.005730906
FEDFUNDS 3M Lag,Interest and Exchange Rates,0.0053616296
CUSR0000SA0L2 6M Lag,Prices,0.005309328
AMDMUOx 9M Lag,"Consumption, Orders and Inventories",0.005182821
HOUSTS 1M Lag,Housing,0.0050226147
COMPAPFFx 3M Lag,Interest and Exchange Rates,0.0048779007
CES1021000001 12M Lag,Labor Market,0.004865211
WPSID61 6M Lag,Prices,0.004838694
CPIULFSL 3M Lag,Prices,0.004809403
T1YFFM,Interest and Exchange Rates,0.00469577
HOUSTS 12M Lag,Housing,0.0045133294
TB6SMFFM 6M Lag,Interest and Exchange Rates,0.0045097414
DTCTHFNM 9M Lag,Money and Credit,0.0044362484
USFIRE 12M Lag,Labor Market,0.004324113
BUSINVx 6M Lag,"Consumption, Orders and Inventories",0.004233
CES1021000001 9M Lag,Labor Market,0.004177392
HOUSTW,Housing,0.004103256
HOUSTS 9M Lag,Housing,0.0040197214
SRVPRD,Labor Market,0.0038850533
DDURRG3M086SBEA 6M Lag,Prices,0.0038772887
TB6SMFFM,Interest and Exchange Rates,0.003831982
RETAILx 6M Lag,"Consumption, Orders and Inventories",0.0037845564
M2SL,Money and Credit,0.003761386
USGOOD 3M Lag,Labor Market,0.0037504723
BAAFFM 12M Lag,Interest and Exchange Rates,0.0037443505
DSERRG3M086SBEA 12M Lag,Prices,0.003679923
REALLN,Money and Credit,0.0036680459
BAAFFM 9M Lag,Interest and Exchange Rates,0.0036441952
PAYEMS 1M Lag,Labor Market,0.0036386035
FEDFUNDS 1M Lag,Interest and Exchange Rates,0.0036142226
CUSR0000SAS 12M Lag,Prices,0.003570284
S&P 500,Stock Market,0.0035539344
CONSPI 12M Lag,Money and Credit,0.003465541
CUSR0000SAD 1M Lag,Prices,0.0034618743
USFIRE 9M Lag,Labor Market,0.003457254
S&P div yield,Stock Market,0.0034377605
CUSR0000SAD,Prices,0.0034072236
HOUSTNE,Housing,0.0033988894
USGOOD,Labor Market,0.0032799477
TB3SMFFM 6M Lag,Interest and Exchange Rates,0.0032658253
RPI 12M Lag,Output and Income,0.0031015777
REALLN 1M Lag,Money and Credit,0.0030000152
DNDGRG3M086SBEA 6M Lag,Prices,0.002951818
USWTRADE 6M Lag,Labor Market,0.0029118743
DSERRG3M086SBEA 9M Lag,Prices,0.0028665548
EXUSUKx 6M Lag,Interest and Exchange Rates,0.002782321
PCEPI,Prices,0.0027357081
USGOVT 9M Lag,Labor Market,0.0026868656
USGOOD 1M Lag,Labor Market,0.0026555802
BUSLOANS 1M Lag,Money and Credit,0.0025994033
HOUSTNE 1M Lag,Housing,0.0025563291
PAYEMS 6M Lag,Labor Market,0.0025274323
DTCTHFNM 3M Lag,Money and Credit,0.002492351
AWHMAN 6M Lag,Labor Market,0.0024564883
REALLN 6M Lag,Money and Credit,0.0023670557
UEMP15T26,Labor Market,0.0023606657
HOUSTMW,Housing,0.0022603997
EXSZUSx,Interest and Exchange Rates,0.0022592267
USGOVT 6M Lag,Labor Market,0.0022410867
CUSR0000SAS,Prices,0.0022276905
CUSR0000SA0L2 1M Lag,Prices,0.0022119686
DTCOLNVHFNM 12M Lag,Money and Credit,0.0022057162
USGOVT 12M Lag,Labor Market,0.0021804627
PAYEMS 9M Lag,Labor Market,0.0021678952
SRVPRD 9M Lag,Labor Market,0.0021655543
T5YFFM,Interest and Exchange Rates,0.0021471586
DMANEMP 12M Lag,Labor Market,0.0020711427
HOUSTMW 1M Lag,Housing,0.0020529416
AWHMAN 9M Lag,Labor Market,0.0020472228
AAAFFM 9M Lag,Interest and Exchange Rates,0.0020266485
M1SL 12M Lag,Money and Credit,0.0020187534
DTCTHFNM 6M Lag,Money and Credit,0.001993521
BUSLOANS,Money and Credit,0.0019797804
CUSR0000SA0L5 6M Lag,Prices,0.001968484
W875RX1 3M Lag,Output and Income,0.001963324
BAA,Interest and Exchange Rates,0.0019545753
HOUST 3M Lag,Housing,0.0019408477
DTCTHFNM,Money and Credit,0.0019343699
INVEST 9M Lag,Money and Credit,0.0019316167
USFIRE 3M Lag,Labor Market,0.0019293776
TB3SMFFM,Interest and Exchange Rates,0.0019283177
DMANEMP 3M Lag,Labor Market,0.001918668
CUSR0000SAD 3M Lag,Prices,0.0019121958
NDMANEMP,Labor Market,0.0019021078
AMDMUOx,"Consumption, Orders and Inventories",0.0018797942
CES0600000007 9M Lag,Labor Market,0.0018712385
USTRADE 9M Lag,Labor Market,0.0018376714
BUSINVx 12M Lag,"Consumption, Orders and Inventories",0.0018311475
DTCOLNVHFNM 1M Lag,Money and Credit,0.0018304583
CUSR0000SA0L5,Prices,0.0018204344
CLAIMSx 3M Lag,Labor Market,0.001794517
DPCERA3M086SBEA,"Consumption, Orders and Inventories",0.0017906005
T5YFFM 3M Lag,Interest and Exchange Rates,0.0017321567
CES1021000001 3M Lag,Labor Market,0.0017221465
TOTRESNS 9M Lag,Money and Credit,0.0017069656
CPIMEDSL 1M Lag,Prices,0.0016992063
TOTRESNS 1M Lag,Money and Credit,0.0016819921
S&P PE ratio,Stock Market,0.001660937
DDURRG3M086SBEA 3M Lag,Prices,0.0016363511
NONREVSL 1M Lag,Money and Credit,0.001626089
HOUSTW 12M Lag,Housing,0.0015631773
USWTRADE 12M Lag,Labor Market,0.001562538
CLAIMSx,Labor Market,0.001532837
CUSR0000SAC 6M Lag,Prices,0.0015306775
TB6SMFFM 1M Lag,Interest and Exchange Rates,0.0015305732
USCONS 6M Lag,Labor Market,0.001524284
CONSPI 6M Lag,Money and Credit,0.0015150124
UEMP15OV 3M Lag,Labor Market,0.0014674809
S&P PE ratio 6M Lag,Stock Market,0.0014385812
INDPRO,Output and Income,0.0014185684
BOGMBASE 9M Lag,Money and Credit,0.0014122932
OILPRICEx 3M Lag,Prices,0.0014083494
USGOVT 3M Lag,Labor Market,0.0013951757
BOGMBASE,Money and Credit,0.0013557285
CUSR0000SAC 3M Lag,Prices,0.0013455363
AMDMUOx 12M Lag,"Consumption, Orders and Inventories",0.001339445
CES1021000001 6M Lag,Labor Market,0.0013200112
USCONS 3M Lag,Labor Market,0.0013125024
PAYEMS 12M Lag,Labor Market,0.0013085126
USTPU 6M Lag,Labor Market,0.001302035
REALLN 9M Lag,Money and Credit,0.001284752
USTPU 12M Lag,Labor Market,0.0012717311
CUSR0000SA0L5 1M Lag,Prices,0.0012640076
HOUSTNE 12M Lag,Housing,0.0012457457
CONSPI 9M Lag,Money and Credit,0.0012453693
CES0600000008 9M Lag,Labor Market,0.0012448527
M2REAL 12M Lag,Money and Credit,0.0012435137
HOUSTS,Housing,0.0012354932
DNDGRG3M086SBEA 9M Lag,Prices,0.0012303597
NONREVSL 3M Lag,Money and Credit,0.0012101805
CUSR0000SA0L5 3M Lag,Prices,0.0012051892
BUSLOANS 9M Lag,Money and Credit,0.0011998359
HOUSTW 6M Lag,Housing,0.0011967061
REALLN 3M Lag,Money and Credit,0.0011841204
USWTRADE 9M Lag,Labor Market,0.0011577703
IPFUELS,Output and Income,0.0011521011
USFIRE 1M Lag,Labor Market,0.001137921
USGOOD 9M Lag,Labor Market,0.0011330349
M1SL 6M Lag,Money and Credit,0.0011310242
IPCONGD,Output and Income,0.0011269699
USTPU 9M Lag,Labor Market,0.0011264302
EXUSUKx 12M Lag,Interest and Exchange Rates,0.0011204296
NDMANEMP 12M Lag,Labor Market,0.0011094158
FEDFUNDS 6M Lag,Interest and Exchange Rates,0.0010865994
BOGMBASE 12M Lag,Money and Credit,0.0010829164
TB3MS 3M Lag,Interest and Exchange Rates,0.001076352
AAAFFM 1M Lag,Interest and Exchange Rates,0.0010562019
HOUSTMW 9M Lag,Housing,0.0010555212
T1YFFM 3M Lag,Interest and Exchange Rates,0.0010234361
USCONS 1M Lag,Labor Market,0.0010224854
EXUSUKx,Interest and Exchange Rates,0.0010107721
PAYEMS 3M Lag,Labor Market,0.001000625
IPNMAT 3M Lag,Output and Income,0.0010002046
RPI,Output and Income,0.0010001507
PPICMM,Prices,0.0009908514
T10YFFM 9M Lag,Interest and Exchange Rates,0.0009906631
OILPRICEx 6M Lag,Prices,0.0009857736
CUSR0000SA0L2 3M Lag,Prices,0.0009808824
CP3Mx 9M Lag,Interest and Exchange Rates,0.000965608
TB3SMFFM 3M Lag,Interest and Exchange Rates,0.0009643617
WPSFD49207 3M Lag,Prices,0.0009640142
EXCAUSx,Interest and Exchange Rates,0.00095668604
CES2000000008 9M Lag,Labor Market,0.00095095433
RETAILx 1M Lag,"Consumption, Orders and Inventories",0.00094629877
CPIULFSL 6M Lag,Prices,0.0009417174
CPIAUCSL 3M Lag,Prices,0.00093811523
AWHMAN,Labor Market,0.0009271645
S&P PE ratio 1M Lag,Stock Market,0.00089761824
INVEST 12M Lag,Money and Credit,0.000891323
SRVPRD 1M Lag,Labor Market,0.00088183937
IPNMAT,Output and Income,0.0008672017
CUSR0000SAS 1M Lag,Prices,0.00085836346
USGOVT,Labor Market,0.000843249
BUSINVx 9M Lag,"Consumption, Orders and Inventories",0.00083791465
S&P 500 1M Lag,Stock Market,0.0008375296
CPIAPPSL 6M Lag,Prices,0.00082694
