Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2000-02-01,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0
2000-04-01,-0.03266864895594468,-0.03266864895594468,-0.03266864895594468
2000-05-01,-0.04787731630821512,-0.04787731630821512,-0.04787731630821512
2000-06-01,-0.03141859306432948,-0.03141859306432948,-0.03141859306432948
2000-07-01,-0.04438297253965107,-0.04438297253965107,-0.04438297253965107
2000-08-01,0.0,0.0,0.0
2000-09-01,-0.05723068409315535,-0.05723068409315535,
2000-10-01,-0.05928309061411252,-0.05928309061411252,
2000-11-01,-0.12951023175903986,-0.12951023175903986,
2000-12-01,-0.13670796786108153,-0.13670796786108153,
2001-01-01,-0.09556054642372713,-0.09556054642372713,
2001-02-01,-0.18183306905400098,-0.18183306905400098,
2001-03-01,-0.22975463197305657,-0.22975463197305657,
2001-04-01,-0.1616937761472227,,
2001-05-01,-0.16639284514883357,,
2001-06-01,-0.18856532949010663,,
2001-07-01,-0.19455431901027687,,
2001-08-01,-0.24234333704720412,,
2001-09-01,-0.30679214876272864,,
2001-10-01,-0.2951303167163878,,
2001-11-01,-0.2401666206811739,,
2001-12-01,-0.23850110404396774,-0.22806629277910084,
2002-01-01,-0.24336895209075027,-0.2330008448958485,
2002-02-01,-0.25693997944221025,-0.24675783589063716,
2002-03-01,-0.2344111140687528,-0.22392025771479485,
2002-04-01,-0.27686892597391854,-0.2669598685645188,
2002-05-01,-0.2811598508532831,-0.2713095919418269,
2002-06-01,-0.3365377300379172,-0.32744631361541143,
2002-07-01,-0.38669236050513867,-0.378288212450012,
2002-08-01,-0.3825214710944709,-0.37406016938615017,
2002-09-01,-0.4497320397371125,-0.44219172373542226,
2002-10-01,-0.4017839678416312,-0.39358661992118105,0.0
2002-11-01,-0.36488582552481874,-0.3561828627529947,0.0
2002-12-01,-0.403743710588485,-0.39557321700203285,-0.06118251902624594
2003-01-01,-0.4155507537882345,-0.40754205198905846,-0.07977294524292755
2003-02-01,-0.42342839023534784,-0.4155276356045463,-0.09217644175380757
2003-03-01,-0.4245149053386411,-0.41662903921273375,-0.09388718156557618
2003-04-01,-0.37330548426802035,-0.3647178959903242,-0.013256921482124318
2003-05-01,-0.33894016484818745,-0.3298816689643119,0.0
2003-06-01,-0.33430352527034835,-0.3251814935636964,0.0
2003-07-01,-0.31985479982664067,-0.3105347773890452,0.0
2003-08-01,-0.3058264534173756,-0.29631420069827064,0.0
2003-09-01,-0.31602244886787056,-0.30664991176588396,-0.014687963119149883
2003-10-01,-0.27664516825278695,-0.2667330446937166,0.0
2003-11-01,-0.2687454148490108,-0.2587250410531442,0.0
2003-12-01,-0.2355655878349835,-0.22509055122275412,0.0
2004-01-01,-0.21676946868638913,-0.2060368690535579,0.0
2004-02-01,-0.20614054557355765,-0.1952622979204598,0.0
2004-03-01,-0.21939205348727142,-0.2086953911060483,-0.016692511300111512
2004-04-01,-0.2314775585828771,-0.22094650374932467,-0.03191624520945613
2004-05-01,-0.21831812622633406,-0.20760674783128663,-0.015339718617541243
2004-06-01,-0.20675142846521322,-0.19588155173387645,-0.0007695101295945861
2004-07-01,-0.2295062475696834,-0.21894817988230242,-0.029433046197084534
2004-08-01,-0.22762960026816392,-0.2170458169027879,-0.027069092110431514
2004-09-01,-0.22311123150822398,-0.21246553298382997,-0.02137744387881302
2004-10-01,-0.20982552858349968,-0.19899777621335912,-0.004641858189626813
2004-11-01,-0.1770877269870318,-0.16581136887012005,0.0
2004-12-01,-0.1537861014220886,-0.14219044137811432,0.0
2005-01-01,-0.16885088606645804,-0.15746165860609573,-0.01780257293065779
2005-02-01,-0.15147660488715675,-0.13984929783674982,0.0
2005-03-01,-0.17025766568227874,-0.15888771530801638,-0.02213381611313625
2005-04-01,-0.182605201814092,-0.1714044495960001,-0.03668560832408796
2005-05-01,-0.15626492600466235,-0.1447032332675554,-0.005643122093137776
2005-06-01,-0.1583834481088351,-0.14685078545756924,-0.0081398382902097
2005-07-01,-0.12265515162742335,-0.11063290450981267,0.0
2005-08-01,-0.13087991449364922,-0.11897037121403897,-0.009374606668611785
2005-09-01,-0.12761813395942578,-0.115663894535878,-0.005656820509299831
2005-10-01,-0.14462544620175743,-0.13290425779681758,-0.025041800399338565
2005-11-01,-0.10702920802942728,-0.0947928387730369,0.0
2005-12-01,-0.11343755700802383,-0.10128900128946805,-0.007176437388791701
2006-01-01,-0.08733554827072787,-0.07482931700430995,0.0
2006-02-01,-0.08210990747112301,-0.06953206930445699,0.0
2006-03-01,-0.07065677479244115,-0.057921994470601534,0.0
2006-04-01,-0.055175297273072466,-0.04222837442959082,0.0
2006-05-01,-0.08363409518667486,-0.07107714294804968,-0.030120717453158696
2006-06-01,-0.08528706319598722,-0.072752761560397,-0.031870214481064085
2006-07-01,-0.07712951391791767,-0.06448342947141006,-0.02323628561095148
