Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2000-02-01,984773.5256805448,984773.5256805448,984773.5256805448
2000-03-01,1077473.6826529105,1077473.6826529105,1077473.6826529105
2000-04-01,1042274.56966808,1042274.56966808,1042274.56966808
2000-05-01,1025887.4496266337,1025887.4496266337,1025887.4496266337
2000-06-01,1043622.0749637253,1043622.0749637253,1043622.0749637253
2000-07-01,1029652.7732730934,1029652.7732730934,1029652.7732730934
2000-08-01,1096931.4251174028,1096931.4251174028,1096931.4251174028
2000-09-01,1034153.4908585926,1034153.4908585926,
2000-10-01,1031901.1963658398,1031901.1963658398,
2000-11-01,954866.6165047938,954866.6165047938,
2000-12-01,946971.7134868052,946971.7134868052,
2001-01-01,992106.9036353483,992106.9036353483,
2001-02-01,897472.3371263307,897472.3371263307,
2001-03-01,844905.6935561496,844905.6935561496,
2001-04-01,919563.6639686739,,
2001-05-01,914409.3680309426,,
2001-06-01,890087.8566914399,,
2001-07-01,883518.5210357254,,
2001-08-01,831097.0119502378,,
2001-09-01,760401.0323045105,,
2001-10-01,773193.3423620121,,
2001-11-01,833484.8054432232,,
2001-12-01,835311.8481530244,846757.7714558305,
2002-01-01,829971.7250149741,841344.4748796197,
2002-02-01,815085.3316783246,826254.0996208133,
2002-03-01,839797.9404496093,851305.3347688622,
2002-04-01,793224.8263074883,804094.049034153,
2002-05-01,788517.8061171909,799322.5305463611,
2002-06-01,727772.2708307564,737744.6250027419,
2002-07-01,672756.2785074845,681974.771914832,
2002-08-01,677331.6280820003,686612.8155603457,
2002-09-01,603605.7187288527,611876.6713999802,
2002-10-01,656201.5268457504,665193.1775257547,1192513.6785035522
2002-11-01,696676.3256662983,706222.5853154209,1266068.4467470716
2002-12-01,654051.9534998405,663014.1494897126,1188607.2633047549
2003-01-01,641100.657948733,649885.3878391145,1165070.900667384
2003-02-01,632458.7037761294,641125.0166407443,1149365.8952106487
2003-03-01,631267.1728851964,639917.1587083349,1147200.5285852046
2003-04-01,687440.0685771197,696859.7677201494,1249283.4158283456
2003-05-01,725136.9658306798,735073.2095380801,1317789.909295528
2003-06-01,730223.1251282941,740229.0623152676,1327032.9760750402
2003-07-01,746072.6367554849,756295.7530652889,1355836.260797462
2003-08-01,761461.0216263289,771894.9984349696,1383801.5408186289
2003-09-01,750276.2028826963,760556.9188729031,1363475.392832539
2003-10-01,793469.9289434643,804342.5102073974,1441971.2619302485
2003-11-01,802136.0148427758,813127.3437992724,1457720.121924055
2003-12-01,838531.3043985472,850021.3425422293,1523861.2064122006
2004-01-01,859149.7786161415,870922.3429505359,1561331.1169937006
2004-02-01,870809.0589383658,882741.3854365906,1582519.5030259506
2004-03-01,856272.5541312054,868005.6930811133,1556102.3428838556
2004-04-01,843016.020197352,854567.5104959168,1532011.2711643856
2004-05-01,857451.5244798947,869200.8183595061,1558244.88326184
2004-06-01,870138.7905505493,882061.9326458757,1581301.4256700783
2004-07-01,845178.1540855058,856759.2711859756,1535940.5126106425
2004-08-01,847236.8785779265,858846.2055052939,1539681.8283757598
2004-09-01,852193.388990874,863870.63287424,1548689.2845051244
2004-10-01,866766.8011447644,878643.7383021364,1575173.516292152
2004-11-01,902677.907606372,915046.919395736,1640434.6958439802
2004-12-01,928237.664730221,940956.9110102424,1686884.3896384044
2005-01-01,911713.0669729834,924205.8837118013,1656854.272287112
2005-02-01,930771.1949256787,943525.1570933851,1691488.568826325
2005-03-01,910169.4967747797,922641.1626270872,1654049.1453561578
2005-04-01,896626.0490848785,908912.1348285632,1629436.6658608138
2005-05-01,925519.0816144461,938201.0763052505,1681943.9141608572
2005-06-01,923195.1232060149,935845.2736822774,1677720.5893483579
2005-07-01,962386.7680021392,975573.9449331793,1748943.484435307
2005-08-01,953364.685364439,966428.2365308848,1732547.6723045988
2005-09-01,956942.3751572435,970054.9498866377,1739049.4005707153
2005-10-01,938286.8728052389,951143.8191132616,1705146.7947034936
2005-11-01,979526.8323293218,992948.8722784405,1780092.0879121176
2005-12-01,972497.4883217071,985823.208156897,1767317.6755752838
2006-01-01,1001130.190708606,1014848.2522975936,1819351.826445104
2006-02-01,1006862.0134962172,1020658.6158172168,1829768.256150534
2006-03-01,1019425.7388911044,1033394.4966024356,1852600.2883440328
2006-04-01,1036407.5059735709,1050608.9576231025,1883461.2185651888
2006-05-01,1005190.3429733495,1018964.039103524,1826730.3327643245
2006-06-01,1003376.8931791274,1017125.7403773682,1823434.7542013114
2006-07-01,1012325.3331855901,1026196.7970547426,1839696.735730476
